Date Caught,USGS Band #,Species,Sex,Bacterial_Killing_Percentage
12-Feb-22,2940-13805,PISI,Female,22.68518519
12-Feb-22,2940-13806,PISI,Female,34.10493827
12-Feb-22,2940-13813,PISI,Female,23.30246914
12-Feb-22,2940-13818,AMGO,Female,33.48765432
19-Feb-22,2940-13820,PISI,Female,27.92792793
19-Feb-22,2940-13824,PISI,Female,35.68953569
19-Feb-22,2940-13826,PISI,Female,38.6001386
19-Feb-22,2940-13829,PISI,Female,31.25433125
19-Feb-22,2940-13831,LEGO,Female,26.81912682
21-Feb-22,2940-13830,LEGO,Female,23.36065574
21-Feb-22,2940-13832,LEGO,Female,44.67213115
26-Feb-22,2940-13833,LEGO,Female,32.85340314
26-Feb-22,2940-13834,LEGO,Female,34.81675393
26-Feb-22,2940-13836,LEGO,Female,38.87434555
26-Feb-22,2940-13837,PISI,Female,45.02617801
6-Mar-22,2940-13838,PISI,Female,47.33581165
8-Mar-22,2940-13839,PISI,Female,34
8-Mar-22,2940-13840,PISI,Female,46.59259259
8-Mar-22,2940-13841,PISI,Female,34.2962963
31-Mar-21,2831-97986,HOFI,Female,64.64994261
31-Mar-21,2831-97990,HOFI,Female,60.51811772
31-Mar-21,2831-97992,HOFI,Female,60.25577964
2-Apr-22,2831-97993,HOFI,Female,58.50340136
2-Apr-22,2831-97995,HOFI,Female,58.25602968
5-Apr-22,2831-98000,HOFI,Female,55.1232166
5-Apr-22,2831-98003,HOFI,Female,61.86770428
5-Apr-22,2831-98008,HOFI,Female,68.74189364
6-Apr-22,2941-07825,HOFI,Female,57.00389105
13-Apr-22,2831-98012,HOFI,Female,61.79851251
13-Apr-22,2831-98014,HOFI,Female,60.17579446
13-Apr-22,2831-98017,HOFI,Female,67.57641921
13-Apr-22,2831-98018,HOFI,Female,64.08296943
13-Apr-22,2831-98019,HOFI,Female,63.59170306
13-Apr-22,2831-98021,HOFI,Female,67.90393013
13-Apr-22,2831-98023,HOFI,Female,58.98681471
14-Apr-22,2831-98024,HOFI,Female,60.34482759
14-Apr-22,2831-98031,HOFI,Female,66.58476658
14-Apr-22,2831-98032,HOFI,Female,63.57493857
14-Apr-22,2831-98033,HOFI,Female,59.76658477
14-Apr-22,2831-98034,HOFI,Female,65.72481572
23-Apr-22,2831-98035,HOFI,Female,58.09578107
23-Apr-22,2831-98036,HOFI,Female,64.08209806
26-Apr-22,2831-98038,HOFI,Female,57.60368664
26-Apr-22,2941-07814,HOFI,Female,58.75576037
26-Apr-22,2831-98040,HOFI,Female,52.01612903
28-Apr-22,2831-98042,HOFI,Female,50.24242424
28-Apr-22,2831-98044,HOFI,Female,62.24242424
28-Apr-22,2831-98046,HOFI,Female,59.58751394
28-Apr-22,2831-98047,HOFI,Female,61.3154961
3-May-22,2831-98050,HOFI,Female,62.82839575
3-May-22,2831-98052,HOFI,Female,59.5863611
3-May-22,2831-98053,HOFI,Female,54.49972051
