Date Caught,USGS Band #,Species,Sex,Extraction_Code,Sequence_Code,SNPS,AA,Bacterial_Killing_Percentage,Heterozygosity_SNPs,AA_Changes
1-Feb-22,2940-13809,LEGO,0,LB-22-22,L22,0,0,NA,0,0
1-Feb-22,2940-13810,LEGO,1,LB-24-22,L24,0,0,NA,0,0
1-Feb-22,2940-13811,LEGO,1,LB-25-22,L25,1,1,NA,1,1
1-Feb-22,2940-13812,LEGO,1,LB-23-22,L23,1,1,NA,1,1
1-Feb-22,2940-13801,LEGO,1,LB-26-22,L26,4,2,NA,1,1
8-Feb-22,2940-13802,LEGO,1,LB-27-22,L27,4,4,NA,1,1
12-Feb-22,2940-13803,AMGO,1,LB-03-22,A3,2,0,32.71604938,1,0
12-Feb-22,2940-13804,PISI,1,LB-12-22,P12,NA,NA,35.49382716,NA,NA
12-Feb-22,2940-13805,PISI,0,LB-02-22,P2,6,2,22.68518519,1,1
12-Feb-22,2940-13806,PISI,0,LB-13-22,P13,4,1,34.10493827,1,1
12-Feb-22,2940-13807,PISI,1,LB-49-22,P49,2,1,33.7962963,1,1
12-Feb-22,2940-13808,PISI,1,LB-11-22,P11,1,0,25.92592593,1,0
12-Feb-22,2940-13813,PISI,0,LB-48-22,P48,1,0,23.30246914,1,0
12-Feb-22,2940-13814,LEGO,1,LB-31-22,L31,1,0,21.91358025,1,0
12-Feb-22,2940-13815,LEGO,1,LB-29-22,L29,0,0,27.00617284,0,0
12-Feb-22,2940-13816,LEGO,1,LB-30-22,L30,1,1,38.58024691,1,1
12-Feb-22,2940-13817,LEGO,1,LB-28-22,L28,2,2,24.07407407,1,1
12-Feb-22,2940-13818,AMGO,0,LB-01-22,A1,0,0,33.48765432,0,0
Feb-12-2022,unbanded LEGO,LEGO,1,LB-32-22,L32,4,2,16.35802469,1,1
19-Feb-22,2940-13819,PISI,1,LB-46-22,P46,0,0,34.85793486,0,0
19-Feb-22,2940-13820,PISI,0,LB-18-22,P18,3,1,27.92792793,1,1
19-Feb-22,2940-13821,LEGO,1,LB-37-22,L37,4,2,32.08593209,1,1
19-Feb-22,2940-13822,PISI,1,LB-45-22,P45,4,1,27.0963271,1,1
19-Feb-22,2940-13823,PISI,1,LB-17-22,P17,0,0,39.01593902,0,0
19-Feb-22,2940-13825,LEGO,1,LB-36-22,L36,0,0,37.07553708,0,0
19-Feb-22,2940-13824,PISI,0,LB-15-22,P15,3,1,35.68953569,1,1
19-Feb-22,2940-13826,PISI,0,LB-16-22,P16,1,1,38.6001386,1,1
19-Feb-22,2940-13827,LEGO,1,LB-34-22,L34,1,0,NA,1,0
19-Feb-22,2940-13828,LEGO,1,LB-33-22,L33,1,0,NA,1,0
19-Feb-22,2940-13829,PISI,0,LB-14-22,P14,4,1,31.25433125,1,1
